circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates
C0027,2,3,ring,43,0.1733556568110867,0.0739357462444514,12.5,12,15
C0028,2,3,ring,44,0.34193903337528236,0.177491181322645,8.333333333333332,12,15
C0029,2,3,ring,45,0.15527533395971804,0.04942063451527018,8.333333333333332,12,15
C0030,2,3,ring,46,0.2925597328810401,0.07214962061911799,8.333333333333332,12,15
C0031,2,4,linear,42,0.2456321751130428,0.08763761448792559,6.25,16,20
C0032,2,4,linear,43,0.29726510138829015,0.11171812349178106,9.375,16,20
C0033,2,4,linear,44,0.3313201370398285,0.15315075322351202,6.25,16,20
C0034,2,4,linear,45,0.26324031656081504,0.11218713065867122,6.25,16,20
C0035,2,4,linear,46,0.20884512418199108,0.07776810397206314,6.25,16,20
C0036,2,4,ring,42,0.2456321751130428,0.08763761448792559,6.25,16,20
C0037,2,4,ring,43,0.29726510138829015,0.11171812349178106,9.375,16,20
C0038,2,4,ring,44,0.3313201370398285,0.15315075322351202,6.25,16,20
C0039,2,4,ring,45,0.26324031656081504,0.11218713065867122,6.25,16,20
C0040,2,4,ring,46,0.20884512418199108,0.07776810397206314,6.25,16,20
C0041,2,6,linear,42,0.2126611040593045,0.08212434785445061,4.166666666666666,24,30
C0042,2,6,linear,43,0.2695958628733043,0.1276953494074675,4.166666666666666,24,30
C0043,2,6,linear,44,0.3399338767738394,0.16521421616861978,4.166666666666666,24,30
C0044,2,6,linear,45,0.28997273555207864,0.13074545721814207,6.25,24,30
C0045,2,6,linear,46,0.24912490344243757,0.09686427054551834,4.166666666666666,24,30
C0046,2,6,ring,42,0.2126611040593045,0.08212434785445061,4.166666666666666,24,30
C0047,2,6,ring,43,0.2695958628733043,0.1276953494074675,4.166666666666666,24,30
C0048,2,6,ring,44,0.3399338767738394,0.16521421616861978,4.166666666666666,24,30
C0049,2,6,ring,45,0.28997273555207864,0.13074545721814207,6.25,24,30
C0050,2,6,ring,46,0.24912490344243757,0.09686427054551834,4.166666666666666,24,30
C0051,2,8,linear,42,0.2098848144959214,0.07070186707641737,3.125,32,40
C0052,2,8,linear,43,0.255675818487688,0.10398002890940139,3.125,32,40
C0053,2,8,linear,44,0.2412480074547213,0.0977830759168009,3.125,32,40
C0054,2,8,linear,45,0.2612539459914726,0.11033274200623766,3.125,32,40
C0055,2,8,linear,46,0.19733067675411053,0.06963766095530483,4.6875,32,40
C0056,2,8,ring,42,0.2098848144959214,0.07070186707641737,3.125,32,40
C0057,2,8,ring,43,0.255675818487688,0.10398002890940139,3.125,32,40
C0058,2,8,ring,44,0.2412480074547213,0.0977830759168009,3.125,32,40
C0059,2,8,ring,45,0.2612539459914726,0.11033274200623766,3.125,32,40
C0060,2,8,ring,46,0.19733067675411053,0.06963766095530483,4.6875,32,40
C0061,2,10,linear,42,0.2463466047545825,0.09657397893331521,2.5,40,50
C0062,2,10,linear,43,0.3106816483256406,0.13251353620184764,2.5,40,50
C0063,2,10,linear,44,0.23507037843071527,0.07885362787260639,2.5,40,50
C0064,2,10,linear,45,0.2853831190831776,0.1343573500015593,2.5,40,50
C0065,2,10,linear,46,0.26111014016989575,0.10583938476789131,2.5,40,50
C0066,2,10,ring,42,0.2463466047545825,0.09657397893331521,2.5,40,50
C0067,2,10,ring,43,0.3106816483256406,0.13251353620184764,2.5,40,50
C0068,2,10,ring,44,0.23507037843071527,0.07885362787260639,2.5,40,50
C0069,2,10,ring,45,0.2853831190831776,0.1343573500015593,2.5,40,50
C0070,2,10,ring,46,0.26111014016989575,0.10583938476789131,2.5,40,50
C0071,4,1,linear,42,0.04939653375626726,0.028159610447186637,50.0,8,11
C0072,4,1,linear,43,0.07354445233798493,0.03414868671326341,59.375,8,11
C0073,4,1,linear,44,0.053150174774967536,0.028029386798450785,40.625,8,11
C0074,4,1,linear,45,0.036023275834901995,0.010429913711421464,56.25,8,11
C0075,4,1,linear,46,0.07124607748368156,0.026130572566312255,37.5,8,11
C0076,4,1,ring,42,0.02093855294971124,0.002281136899441798,40.625,8,12
C0077,4,1,ring,43,0.044305941012760926,0.014520210233621047,62.5,8,12
C0078,4,1,ring,44,0.04554535057669986,0.013033013691153696,28.125,8,12
C0079,4,1,ring,45,0.01842894514272121,0.0036580867189897302,50.0,8,12
C0080,4,1,ring,46,0.048189948008149165,0.014336914309031095,25.0,8,12
C0081,4,2,linear,42,0.12047040295985702,0.04560995538330577,29.6875,16,22
C0082,4,2,linear,43,0.11379250968790623,0.044692046963655085,32.8125,16,22
C0083,4,2,linear,44,0.11308188493353358,0.038804467228576396,28.125,16,22
C0084,4,2,linear,45,0.0875181050459591,0.03228504355325749,31.25,16,22
C0085,4,2,linear,46,0.09487170735607706,0.02782086292238595,28.125,16,22
C0086,4,2,ring,42,0.09569882845226119,0.02349248225737372,14.0625,16,24
C0087,4,2,ring,43,0.11689201336106018,0.04482964616216239,18.75,16,24
C0088,4,2,ring,44,0.1446211779203988,0.03525556694766999,12.5,16,24
C0089,4,2,ring,45,0.11672956670248597,0.036694266768751975,14.0625,16,24
C0090,4,2,ring,46,0.13174144937465748,0.04172601242438673,17.1875,16,24
C0091,4,3,linear,42,0.12049166795455367,0.03182381773507934,21.875,24,33
C0092,4,3,linear,43,0.08593168680722892,0.024710481539715532,27.083333333333332,24,33
C0093,4,3,linear,44,0.11684728336909744,0.031838153577954935,21.875,24,33
C0094,4,3,linear,45,0.09851489450234457,0.024590326540387383,22.916666666666664,24,33
C0095,4,3,linear,46,0.10677339152498733,0.028926001716121964,21.875,24,33
C0096,4,3,ring,42,0.11975911659113263,0.026830334818194076,8.333333333333332,24,36
C0097,4,3,ring,43,0.12789755444484283,0.03247283211127696,10.416666666666668,24,36
C0098,4,3,ring,44,0.11223444026098194,0.021664971354758616,8.333333333333332,24,36
C0099,4,3,ring,45,0.11601652122908575,0.02778165590484014,8.333333333333332,24,36
C0100,4,3,ring,46,0.10107359559815145,0.021318184051112674,9.375,24,36
C0101,4,4,linear,42,0.11288405019364493,0.026512711276192133,17.1875,32,44
C0102,4,4,linear,43,0.10119132457078298,0.027464139658060133,18.75,32,44
C0103,4,4,linear,44,0.09681418236476157,0.025390867640573356,16.40625,32,44
C0104,4,4,linear,45,0.10014376670618078,0.021903635617614697,17.96875,32,44
C0105,4,4,linear,46,0.121710349959088,0.027765363551906612,15.625,32,44
C0106,4,4,ring,42,0.10540378248917542,0.019827118604059932,6.25,32,48
C0107,4,4,ring,43,0.11514985417210996,0.026066629595172523,9.375,32,48
C0108,4,4,ring,44,0.08732360546409053,0.013904637842577876,7.03125,32,48
C0109,4,4,ring,45,0.12785447804241246,0.029748961550835458,7.8125,32,48
C0110,4,4,ring,46,0.11522689476484702,0.023406510555410112,6.25,32,48
C0111,4,6,linear,42,0.11128693674342093,0.024425800179302393,10.9375,48,66
C0112,4,6,linear,43,0.11561207963869569,0.027660606447327596,11.458333333333332,48,66
C0113,4,6,linear,44,0.1198875840264874,0.026372807974219096,10.416666666666668,48,66
C0114,4,6,linear,45,0.1133120725359299,0.02557635138490856,10.9375,48,66
C0115,4,6,linear,46,0.11950582697836254,0.026077610040439025,11.458333333333332,48,66
C0116,4,6,ring,42,0.12806610975922633,0.029772361365009103,4.166666666666666,48,72
C0117,4,6,ring,43,0.13002373279036886,0.026213364807514596,5.729166666666666,48,72
C0118,4,6,ring,44,0.13310598389132908,0.031060668416948118,4.166666666666666,48,72
C0119,4,6,ring,45,0.12348366488065483,0.030042278773020126,5.208333333333334,48,72
C0120,4,6,ring,46,0.12926882773826512,0.026165722310705797,4.166666666666666,48,72
C0121,4,8,linear,42,0.12446200302771449,0.025844900670256903,8.203125,64,88
C0122,4,8,linear,43,0.11880794235792996,0.025378780068491306,9.375,64,88
C0123,4,8,linear,44,0.11281890087988397,0.02290144217251447,9.375,64,88
C0124,4,8,linear,45,0.11413449455179635,0.023557610828328978,8.203125,64,88
C0125,4,8,linear,46,0.11685094575958484,0.023751718345619358,8.203125,64,88
C0126,4,8,ring,42,0.12065874598489976,0.025524887243180746,3.515625,64,96
C0127,4,8,ring,43,0.13400906867099155,0.028708861917782692,3.90625,64,96
C0128,4,8,ring,44,0.1266731835032966,0.02749778849572764,3.515625,64,96
C0129,4,8,ring,45,0.12508547788834296,0.02569754048607277,3.125,64,96
